,molecule_chembl_id,canonical_smiles,0,pIC50
2270,CHEMBL4106612,COc1nc(NC(=O)N[C@H](C)c2ccccc2)cc2[nH]nc(N)c12,active,9.154901959985743
2271,CHEMBL4115524,C[C@@H](NC(=O)Nc1cc2[nH]nc(N3CC4CCC(C3)O4)c2cn1)c1ccccc1,active,8.468521082957745
2272,CHEMBL4108481,CCNc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)nc(Cl)c12,active,7.928117992693875
2273,CHEMBL3916081,CC(C)(O)[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)N3C[C@H]4COC[C@H]4C3)c2cn1)c1ccc(F)cc1,active,8.431798275933005
2274,CHEMBL4110593,C[C@@H](NC(=O)Nc1cc2[nH]nc(NC(=O)N3C[C@H]4COC[C@H]4C3)c2cn1)c1ccc(F)cc1,active,7.844663962534938
2275,CHEMBL3941372,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2ccccc2)cc1,active,8.787812395596042
2276,CHEMBL3906700,CN(Cc1ncccn1)C(=O)c1ccc(-c2cc(C3CCOCC3)cnc2N)cc1F,inactive,4.910094888560602
2277,CHEMBL3938607,Nc1ncc(C2CCS(=O)(=O)C2)cc1-c1ccc(C(=O)NCc2ccccc2)c(F)c1,active,6.501689446210399
2278,CHEMBL3941965,Nc1ncc([C@@H]2CCS(=O)(=O)C2)cc1-c1ccc(C(=O)NCc2ccccc2)c(F)c1,active,6.555955204081924
2279,CHEMBL3933118,Nc1ncc([C@H]2CCS(=O)(=O)C2)cc1-c1ccc(C(=O)NCc2ccccc2)c(F)c1,active,6.450996737974212
2280,CHEMBL3960579,Nc1ncc([C@@H]2CN[C@H](CO)C2)cc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,active,7.185752404268079
2281,CHEMBL3931917,Nc1ncc([C@H]2C[C@H]3COCC(=O)N3C2)cc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,active,8.385102783966865
2282,CHEMBL3955988,Nc1ncc([C@H]2C[C@H]3COC(=O)N3C2)cc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,active,8.447331783887806
2283,CHEMBL3919473,N=C1OC[C@@H]2C[C@H](c3cnc(N)c(-c4ccc(C(=O)N[C@H](CO)c5cccc(Cl)c5)c(F)c4)c3)CN12,active,7.91721462968355
2284,CHEMBL3947263,Nc1ncc([C@H]2C[C@H]3COC(=S)N3C2)cc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,active,8.423658649794207
2285,CHEMBL3902723,Nc1ncc([C@H]2CCC[C@@H](O)C2)nc1-c1ccc(C(=O)NCc2ccccc2)c(F)c1,active,7.402304814074488
2286,CHEMBL3934174,CS(=O)(=O)C1CCCC(c2cnc(N)c(-c3ccc(C(=O)NCc4ccccc4)c(F)c3)n2)C1,active,6.442492798094342
2287,CHEMBL3906475,Nc1ncc(C2CCC(O)CC2)nc1-c1ccc(C(=O)NCc2ccccc2)c(F)c1,active,7.896196279044043
2288,CHEMBL4106597,CS(=O)(=O)[C@H]1CC[C@@H](c2cnc(N)c(-c3ccc(C(=O)NCc4ccccc4)c(F)c3)n2)CC1,active,6.686132779630847
2289,CHEMBL3921367,CS(=O)(=O)[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)NCc4ccccc4)c(F)c3)n2)CC1,active,7.1911141326401875
2290,CHEMBL3924582,COC(=O)CCc1cnc(N)c(-c2ccc(C(=O)NCc3ccccc3)c(F)c2)n1,intermediate,5.219682687859849
2291,CHEMBL3926768,CNC(=O)CCc1cnc(N)c(-c2ccc(C(=O)NCc3ccccc3)c(F)c2)n1,intermediate,5.962573502059376
2292,CHEMBL3953599,CS(=O)(=O)CCc1cnc(N)c(-c2ccc(C(=O)NCc3ccccc3)c(F)c2)n1,intermediate,5.573488738635425
2293,CHEMBL3972085,CC(O)Cc1cnc(N)c(-c2ccc(C(=O)NCc3ccccc3)c(F)c2)n1,active,6.235823867609669
2294,CHEMBL3893991,C[C@@H](O)Cc1cnc(N)c(-c2ccc(C(=O)NCc3ccccc3)c(F)c2)n1,active,6.405607449624573
2295,CHEMBL3936123,C[C@H](O)Cc1cnc(N)c(-c2ccc(C(=O)NCc3ccccc3)c(F)c2)n1,active,6.343901797987168
2296,CHEMBL3965985,Nc1ncc(C2CCC(=O)NC2)cc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,active,9.46470587995723
2297,CHEMBL3948464,CN1CCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)CC1=O,active,8.485452247339714
